country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mexico,,10.1,8.43,8.68,11.2,11.6,13.9,15.2,15.8,17.6,19.3,20.7,22.5,22.1,21.4,21.4,21.3,19.6,19,17.2,15.7,18.2,16.9,16.5,16.3,15.9,16,14.7,15.3
Moldova,,,,,,,3.16,3.79,10.2,27.4,3.08,4.47,3.08,2.59,3.98,3.33,2.68,3.96,4.78,5.12,4.24,4.59,8.26,6.31,4.78,2.36,4.81,3.99,3.1
Mongolia,,,,,,,,,1.12,3.65,1.57,3.92,0.469,0.0835,0.447,0.206,0.137,0.0606,1.66,7.43,,,,,,15.9,19.5,4.03,16.3
Morocco,,,,,,2.53,2.12,0.551,0.36,0.412,9.57,12.3,11.3,9.51,11.1,11.3,10.2,9.64,9.79,8.82,5.95,7.33,7.69,6.07,6.35,6.55,5.31,3.54,3.67
Mozambique,,,,,,,1.03,3.84,5.93,11.1,,2.2,9.02,2.01,3.52,6.89,11.3,8.37,2.31,10.6,3.79,9.52,1.27,26.5,24.7,13.4,5.63,11.6,
Myanmar,,,,,0.0831,,,,,,,,,,,,,,,,,,0.00182,0.202,1.01,,0.606,0.44,7.61
Namibia,,,,,,,,,,,,,1.83,0.868,1.38,2.67,5.42,11.5,6.5,5.19,0.917,1.42,1.17,1.61,5.29,1.72,2.68,0.404,2.19
Nepal,,,,,,,2.92,,,,0.00283,0.00026,0.011,,,0.122,,,,,,0.413,0.567,0.286,0.13,0.298,0.173,0.623,
Netherlands,14.6,15.9,16.5,17.6,19.4,23.4,22.4,24.1,26.8,27.4,30.2,33.3,35.8,32.7,28,31.4,30.5,30.9,29,23.3,19.2,20.9,21.3,19.8,20,20.4,19.9,19.3,17.8
New Zealand,3.91,4.42,4.43,4.76,5.25,5.4,6.29,7.29,7.46,9.17,12.3,15.2,9.66,9.35,9.38,9.55,9.57,10.2,10.3,9.08,8.47,8.94,9,9.31,9.79,10.3,9.11,9.62,10.1
Nicaragua,,,,,,6.46,3.61,0.971,0.441,0.649,4.19,2.35,4.88,3.48,9.74,4.31,6.56,5.17,7.16,4.35,0.873,5.35,4.81,5.29,0.24,0.368,0.386,0.488,
